 2022-10-20 19:09:22,336 - 'g'
 2022-10-20 19:09:22,800 - 'h'
 2022-10-20 19:09:23,141 - 'j'
 2022-10-20 19:09:23,493 - 'k'
 2022-10-20 19:09:24,269 - 'w'
 2022-10-20 19:09:24,336 - 'e'
 2022-10-20 19:09:24,394 - 'r'
 2022-10-20 19:09:24,450 - 't'
 2022-10-20 19:09:24,516 - 'y'
 2022-10-20 19:09:24,597 - 'u'
 2022-10-20 19:09:24,702 - 'i'
 2022-10-20 19:09:25,152 - 'z'
 2022-10-20 19:09:25,258 - 'x'
 2022-10-20 19:09:25,341 - 'c'
 2022-10-20 19:09:25,407 - 'v'
 2022-10-20 19:09:25,472 - 'b'
 2022-10-20 19:09:25,545 - 'n'
 2022-10-20 19:09:25,634 - 'm'
 2022-10-20 19:09:26,287 - 'e'
 2022-10-20 19:09:26,381 - 'r'
 2022-10-20 19:09:26,461 - 't'
 2022-10-20 19:09:26,545 - 'y'
 2022-10-20 19:09:26,631 - 'u'
 2022-10-20 19:09:26,735 - 'i'
 2022-10-20 19:09:27,946 - Key.enter
 2022-10-20 19:09:51,131 - 'w'
 2022-10-20 19:09:51,294 - 's'
 2022-10-20 19:09:51,346 - 'd'
 2022-10-20 19:09:51,491 - 'f'
 2022-10-20 19:09:51,615 - 'g'
 2022-10-20 19:09:51,731 - 'h'
 2022-10-20 19:09:51,888 - 'j'
 2022-10-20 19:09:52,056 - 'k'
 2022-10-20 19:09:52,608 - 'x'
 2022-10-20 19:09:52,738 - 'c'
 2022-10-20 19:09:52,851 - 'v'
 2022-10-20 19:09:52,963 - 'b'
 2022-10-20 19:09:53,095 - 'n'
 2022-10-20 19:09:53,276 - 'm'
 2022-10-20 19:09:54,164 - Key.space
 2022-10-20 19:09:55,038 - 'v'
 2022-10-20 19:09:55,261 - 'b'
 2022-10-20 19:09:55,484 - 'n'
 2022-10-20 19:09:56,848 - Key.enter
 2022-10-20 19:09:57,406 - 'd'
 2022-10-20 19:09:58,314 - 'f'
 2022-10-20 19:09:58,621 - 'g'
 2022-10-20 19:09:58,891 - 'h'
 2022-10-20 19:09:59,554 - 'v'
 2022-10-20 19:09:59,751 - 'b'
 2022-10-20 19:10:00,698 - 'w'
 2022-10-20 19:10:01,043 - 'h'
 2022-10-20 19:10:01,368 - 'n'
 2022-10-20 19:10:01,696 - 'e'
 2022-10-20 19:10:02,063 - 'n'
 2022-10-20 19:10:49,975 - 't'
 2022-10-20 19:10:50,072 - 'y'
 2022-10-20 19:10:50,141 - 'u'
 2022-10-20 19:10:50,244 - 'i'
 2022-10-20 19:10:50,765 - 'z'
 2022-10-20 19:10:50,887 - 'x'
 2022-10-20 19:10:50,963 - 'c'
 2022-10-20 19:10:51,033 - 'v'
 2022-10-20 19:10:51,118 - 'b'
 2022-10-20 19:10:51,239 - 'n'
 2022-10-20 19:10:51,404 - 'm'
 2022-10-20 19:10:51,901 - 'c'
 2022-10-20 19:10:51,959 - 'v'
 2022-10-20 19:10:52,041 - 'b'
 2022-10-20 19:10:52,140 - 'n'
 2022-10-20 19:10:52,785 - Key.enter
 2022-10-20 19:11:12,103 - Key.ctrl_l
 2022-10-20 19:11:12,584 - Key.ctrl_l
 2022-10-20 19:11:12,620 - Key.ctrl_l
 2022-10-20 19:11:12,653 - Key.ctrl_l
 2022-10-20 19:11:12,683 - Key.ctrl_l
 2022-10-20 19:11:12,702 - Key.ctrl_l
 2022-10-20 19:11:12,735 - Key.ctrl_l
 2022-10-20 19:11:12,771 - Key.ctrl_l
